Unnamed: 0,author,statement,target,BinaryNumTarget,manual_keywords,tweet,5_label_majority_answer,3_label_majority_answer
0,D.L. Davis,End of eviction moratorium means millions of Americans could lose their housing in the middle of a pandemic.,True,1.0,"Americans, eviction moratorium","@POTUS Biden Blunders - 6 Month Update

Inflation, Delta mismanagement, COVID for kids, Abandoning Americans in Afghanistan, Arming the Taliban, S. Border crisis, Breaking job growth, Abuse of power (Many Exec Orders, $3.5T through Reconciliation, Eviction Moratorium)...what did I miss?",Mostly Agree,Agree
1,D.L. Davis,End of eviction moratorium means millions of Americans could lose their housing in the middle of a pandemic.,True,1.0,"Americans, eviction moratorium","@S0SickRick @Stairmaster_ @6d6f636869 Not as many people are literally starving and out in the streets as they were in the 19th century. Isnt capitalism grand?

Meanwhile, were facing an eviction moratorium threatening to make millions of Americans homeless.

Fuck off with this corporatist propaganda.",NO MAJORITY,Agree
2,D.L. Davis,End of eviction moratorium means millions of Americans could lose their housing in the middle of a pandemic.,True,1.0,"Americans, eviction moratorium",THE SUPREME COURT is siding with super rich property owners and over poor struggling AMERICANS by blocking the eviction moratorium during a pandemic which isn't even over yet. ASSHOLES! get ready for more homeless people!,Agree,Agree
3,D.L. Davis,End of eviction moratorium means millions of Americans could lose their housing in the middle of a pandemic.,True,1.0,"Americans, eviction moratorium","@POTUS Biden Blunders

Broken campaign promises, Inflation, Delta mismanagement, Dems without leadership, Abandoned Americans &amp; Armed the Taliban, S. Border crisis, Breaking job growth, Abuse of power (61 Exec Orders, $1.9T+ in Reconciliation, Eviction Moratorium, Vaccine Mandates)",Mostly Agree,Agree
4,D.L. Davis,End of eviction moratorium means millions of Americans could lose their housing in the middle of a pandemic.,True,1.0,"Americans, eviction moratorium","@OhComfy I agree. The confluence of events right now is unprecedented (Afghan disaster, bombing, overturning of the eviction moratorium, collapse of Biden admin credibility). If images come out of Americans being executed by Taliban, SHTF.",Agree,Agree
5,D.L. Davis,End of eviction moratorium means millions of Americans could lose their housing in the middle of a pandemic.,True,1.0,"Americans, eviction moratorium","I've said this before, but it really is incredibly the way in which Afghanistan has completely crowded out the things that are *actually* affecting ordinary Americans in national media coverage, from COVID to the eviction moratorium to climate change.",Agree,Agree
6,D.L. Davis,End of eviction moratorium means millions of Americans could lose their housing in the middle of a pandemic.,True,1.0,"Americans, eviction moratorium","As many face backlogged rent payments, Americans can observe that the eviction moratorium was simply a bandaid, and not a solution, to the issue of affordable housing in the U.S. Moving forward, policymakers must consider expanding Section 8 housing and voucher options #padp8670",Mostly Agree,Agree
7,D.L. Davis,End of eviction moratorium means millions of Americans could lose their housing in the middle of a pandemic.,True,1.0,"Americans, eviction moratorium","@Thomas1774Paine @JoeBiden
#DOJ@TheJusticeDept

#INSTRUCTING ?!
#SUPREME#COURT ?!

#DO#NOT#BLOCK
#NEW#EVICTION
#MORATORIUM ?!
~ ~
#AMERICANS
#DEPEND !!
ON
#EARNINGS
FROM
THESE
#INVESTMENTS !!
~ ~
@JoeBiden
&amp;
@TheJusticeDept

#ADMITTED
#UNCONSTITUTIONAL !!",Mostly Agree,Agree
8,D.L. Davis,End of eviction moratorium means millions of Americans could lose their housing in the middle of a pandemic.,True,1.0,"Americans, eviction moratorium",@SocialismIsDone @TheeKHiveQueenB Its a win for AmericansIm not worried about taking credit; theyll do that no matter what! (Like with extension of eviction moratorium),Agree,Agree
9,D.L. Davis,End of eviction moratorium means millions of Americans could lose their housing in the middle of a pandemic.,True,1.0,"Americans, eviction moratorium","@daysofarelives2 @Sen_JoeManchin There is not and never has been stimulus checks in the plan,Joey Biden has already stated Americans dont need stimulus checks, unemployment, eviction moratorium, or rental and utility help, thats why he and the democrats let it all expire. Welcome to a democrat ran America",NO MAJORITY,Agree
10,D.L. Davis,End of eviction moratorium means millions of Americans could lose their housing in the middle of a pandemic.,True,1.0,"Americans, eviction moratorium",BREAKING NEWS: Mitch McConnell accuses President Biden of pushing socialism by implementing the eviction moratorium that will stop millions of Americans from being thrown out on the street this month. RT if you think that Mitch is a heartless idiot!,Mostly Agree,Agree
